Station,Location,Key,Lat,Long
1346,Bathurst Quay,Station,43.6356,-79.3959
1362,Inner Harbour Centre,Station,43.6383,-79.3754
1363,Inner Harbour Centre,Station,43.6376,-79.3726
1364,Inner Harbour Centre,Station,43.6354,-79.3712
1365,Inner Harbour Centre,Station,43.6325,-79.3701
1366,Inner Harbour Centre,Station,43.6289,-79.367
1371,Inner Harbour East,Station,43.6392,-79.359
1372,Inner Harbour East,Station,43.6362,-79.3527
1380,Inner Harbour East,Station,43.6407,-79.3559
6699,Inner Harbour East,Station,43.6392,-79.3626
1012,Inner Harbour West,Station,43.634,-79.3956
1349,Inner Harbour West,Station,43.6358,-79.3915
1355,Inner Harbour West,Station,43.6368,-79.384
1358,Inner Harbour West,Station,43.6303,-79.3809
1359,Inner Harbour West,Station,43.6261,-79.379
1761,Inner Harbour West,Station,43.6297,-79.3873
1765A,Inner Harbour West,Station,43.627,-79.3831
1772,Inner Harbour West,Station,43.6234,-79.3775
1375,Keating Channel,Station,43.6442,-79.3598
1379A,Keating Channel,Station,43.6467,-79.3554
1370,Queen Elizabeth Docks,Station,43.6412,-79.3623
1381,Ship Channel,Station,43.6442,-79.344
1384,Ship Turning Basin,Station,43.6523,-79.3342
1401,Toronto Island,Station,43.6219,-79.3879
1403,Toronto Island,Station,43.6201,-79.3812
,Combined Sewage Outflow,CSO,43.636438,-79.396648
,Combined Sewage Outflow,CSO,43.637442,-79.391526
,Combined Sewage Outflow,CSO,43.638952,-79.384667
,Combined Sewage Outflow,CSO,43.638802,-79.384731
,Combined Sewage Outflow,CSO,43.64163,-79.374874
,Combined Sewage Outflow,CSO,43.643678,-79.368798
,Combined Sewage Outflow,CSO,43.643408,-79.365284
,Combined Sewage Outflow,CSO,43.644799,-79.361533
,Combined Sewage Outflow,CSO,43.647524,-79.354621
,Don River,River,43.65857926616557,-79.354480730911
